age,city,color,country,customer-id,customer-name,discount-applied,gender,payment-method,previous-purchaser,product,product-category,promo-code,quantity,purchase-frequency,reason,review-rate,sales-price,season,shipping-mode,size,status,unit-price
18,Berlin,White,Germany,Cust2614,Emma Thomas,15,Female,Debit Card,Yes,Nuts,Snacks,60988,2,Monthly,"",5,35,Spring,Express,Small,Delivered,20.37
18,Brisbane,Brown,Australia,Cust4006,Michael Anderson,15,Female,Cash,Yes,Beef,Meat,27101,2,Weekly,Damaged Product,3,38,Autumn,Shipped From Abroad,Small,Returned,22.48
18,Brisbane,N/A,Australia,Cust5763,John Brown,10,Male,Bank Transfer,Yes,Chicken,Meat,69104,2,Quarterly,Late Delivery,3,5,Autumn,Standard,Medium,Returned,2.95
18,Brisbane,Red,Australia,Cust3842,Michael Anderson,10,Female,Bank Transfer,No,Onion,Vegetables,98342,6,Monthly,"",4,141,Autumn,Express,Medium,Delivered,26.03
18,Brisbane,Red,Australia,Cust5496,Michael Taylor,20,Male,Debit Card,Yes,Potato,Vegetables,28340,9,Quarterly,Late Delivery,2,281,Summer,Shipped From Abroad,Large,Returned,39.02
18,Brisbane,Yellow,Australia,Cust2531,Daniel Jackson,10,Male,PayPal,Yes,Butter,Dairy,82864,10,Quarterly,Changed Mind,3,374,Summer,Express,Medium,Returned,41.59
18,Brisbane,Yellow,Australia,Cust4809,Michael Taylor,10,Male,Debit Card,No,Onion,Vegetables,86508,7,Monthly,"",3,302,Autumn,Shipped From Abroad,Medium,Delivered,47.97
18,Chicago,Brown,USA,Cust2820,Emma Thomas,0,Female,PayPal,Yes,Soda,Beverages,93288,8,Monthly,Damaged Product,3,244,Autumn,Express,Medium,Returned,30.48
18,Chicago,Green,USA,Cust6230,Emma Thomas,5,Male,Apple Pay,Yes,Onion,Vegetables,21904,8,Weekly,Changed Mind,4,352,Winter,Express,Medium,Returned,46.3
18,Chicago,Red,USA,Cust1579,Sarah Brown,5,Male,Cash,No,Cake,Bakery,88460,6,Yearly,"",2,30,Spring,Shipped From Abroad,Large,Delivered,5.25
18,Hamburg,Brown,Germany,Cust2766,Mary Thomas,20,Female,Credit Card,No,Orange,Fruits,51858,6,Monthly,Changed Mind,2,146,Autumn,Express,Large,Returned,30.46
18,Hamburg,Brown,Germany,Cust5132,Michael Taylor,20,Female,Apple Pay,No,Croissant,Bakery,35424,3,Yearly,"",4,16,Autumn,Standard,Small,Delivered,6.65
18,Hamburg,Green,Germany,Cust3361,David Jackson,5,Male,Credit Card,Yes,Nuts,Snacks,43951,3,Yearly,Quality Issue,3,139,Winter,Express,Medium,Returned,48.86
18,Hamburg,Green,Germany,Cust4272,Michael Anderson,20,Male,Bank Transfer,No,Cheese,Dairy,87963,10,Yearly,"",4,41,Winter,Shipped From Abroad,Small,Delivered,5.1
18,Hamburg,N/A,Germany,Cust1326,Emma Johnson,10,Male,Google Pay,Yes,Yogurt,Dairy,98917,9,Monthly,Wrong Item,3,67,Autumn,Express,Small,Returned,8.28
