customer-id,age,gender,product,product-category,size,color,season,review-rate,shipping-mode,discount-applied,promo-code,previous-purchaser,payment-method,purchase-frequency,order-date,shipped-date,delivery-date,customer-name,country,city,quantity,unit-price,sales-price,status,reason
CUST1000,47,Male,Carrot,Vegetables,Medium,Red,Autumn,2,Standard,5,29977,No,Cash,Monthly,51:04.3,51:04.3,51:04.3,David Smith,USA,New York,3,23.27,66.32,Delivered,
CUST1001,34,Female,Orange,Fruits,Medium,Red,Winter,,Shipped from Abroad,10,24988,Yes,Google Pay,Quarterly,51:04.3,51:04.3,51:04.3,John Anderson,Australia,Melbourne,8,9.24,66.53,Delivered,
CUST1002,50,Female,Muffin,Bakery,Medium,White,Summer,4,Standard,0,55196,No,Debit Card,Weekly,51:04.3,51:04.3,51:04.3,Emma Jackson,Canada,Toronto,4,4.7,18.8,Delivered,
CUST1003,26,Female,Butter,Dairy,Large,Red,Spring,3,Standard,5,34755,Yes,Bank Transfer,Yearly,51:04.3,51:04.3,51:04.3,Olivia Taylor,UK,Manchester,5,35.15,166.96,Delivered,
CUST1004,52,Female,Chips,Snacks,Large,Brown,Autumn,1,Express,20,16246,No,Google Pay,Yearly,51:04.3,51:04.3,51:04.3,John Smith,Canada,Vancouver,2,17.94,28.7,Delivered,
CUST1005,30,Male,Fish,Meat,Medium,White,Winter,3,Shipped from Abroad,5,34183,Yes,Apple Pay,Weekly,51:04.3,51:04.3,51:04.3,John Jackson,Canada,Toronto,10,38.13,362.24,Returned,Changed Mind
CUST1006,47,Female,Spinach,Vegetables,Small,Brown,Winter,5,Express,0,90161,Yes,Cash,Weekly,51:04.3,51:04.3,51:04.3,Mary Taylor,UK,London,7,19.97,139.79,Delivered,
CUST1007,43,Male,Orange,Fruits,Small,Green,Spring,,Express,0,21982,Yes,Debit Card,Monthly,51:04.3,51:04.3,51:04.3,Mary Johnson,UK,Manchester,2,32.74,65.48,Delivered,
CUST1008,27,Male,Soda,Beverages,Large,Red,Summer,,Shipped from Abroad,5,40325,Yes,Apple Pay,Quarterly,51:04.3,51:04.3,51:04.3,David Jackson,Australia,Brisbane,3,21.41,61.02,Delivered,
CUST1009,45,Female,Pork,Meat,Large,Green,Spring,5,Standard,15,15367,No,Credit Card,Monthly,51:04.3,51:04.3,51:04.3,Mary Anderson,Canada,Vancouver,7,2.12,12.61,Returned,Late Delivery
CUST1010,25,Female,Tea,Beverages,Small,Yellow,Winter,4,Express,5,80465,Yes,Bank Transfer,Yearly,51:04.3,51:04.3,51:04.3,Sarah Thomas,Australia,Melbourne,8,2.75,20.9,Delivered,
CUST1011,51,Male,Carrot,Vegetables,Small,White,Spring,2,Standard,15,25788,No,Bank Transfer,Quarterly,51:04.3,51:04.3,51:04.3,Daniel Taylor,Australia,Sydney,1,22.68,19.28,Delivered,
CUST1012,59,Male,Carrot,Vegetables,Small,Green,Winter,3,Standard,10,78437,Yes,Debit Card,Weekly,51:04.3,51:04.3,51:04.3,John Johnson,Germany,Berlin,1,43.9,39.51,Returned,Changed Mind
CUST1013,21,Female,Bread,Bakery,Medium,N/A,Summer,2,Shipped from Abroad,5,51832,No,PayPal,Yearly,51:04.3,51:04.3,51:04.3,David Taylor,Canada,Toronto,4,32.89,124.98,Delivered,
CUST1014,26,Male,Butter,Dairy,Medium,White,Summer,3,Express,0,49425,Yes,Bank Transfer,Monthly,51:04.3,51:04.3,51:04.3,Daniel Jackson,Canada,Vancouver,8,,,Returned,Quality Issue
CUST1015,35,Male,Soda,Beverages,Medium,N/A,Autumn,,Standard,20,81802,No,Google Pay,Quarterly,51:04.3,51:04.3,51:04.3,Emma Johnson,USA,Houston,,30.36,,Returned,Damaged Product
CUST1016,58,Male,Juice,Beverages,Large,Green,Autumn,5,Standard,15,38071,No,Debit Card,Quarterly,51:04.3,51:04.3,51:04.3,Emma Johnson,Germany,Munich,9,15.8,120.87,Returned,Late Delivery
CUST1017,53,Male,Cheese,Dairy,Small,Green,Spring,,Express,0,92449,No,Bank Transfer,Weekly,51:04.3,51:04.3,51:04.3,Sarah Jackson,Australia,Melbourne,3,,,Returned,Wrong Item
CUST1018,27,Male,Tomato,Vegetables,Medium,Red,Summer,4,Standard,15,91622,Yes,Google Pay,Monthly,51:04.3,51:04.3,51:04.3,Mary Anderson,UK,Liverpool,3,,,Returned,Late Delivery
CUST1019,64,Female,Cake,Bakery,Medium,Brown,Summer,2,Express,0,41182,Yes,Bank Transfer,Monthly,51:04.3,51:04.3,51:04.3,Daniel Taylor,Canada,Montreal,7,10.47,73.29,Delivered,
CUST1020,26,Female,Apple,Fruits,Small,Yellow,Winter,2,Shipped from Abroad,15,29923,Yes,Credit Card,Quarterly,51:04.3,51:04.3,51:04.3,Emma Brown,Germany,Berlin,4,31.65,107.61,Delivered,
CUST1021,18,Female,Pork,Meat,Small,White,Spring,3,Express,15,45236,Yes,Google Pay,Weekly,51:04.3,51:04.3,51:04.3,Sarah Taylor,USA,Los Angeles,9,10.79,82.54,Returned,Late Delivery
CUST1022,60,Female,Apple,Fruits,Small,Red,Summer,3,Shipped from Abroad,15,39081,No,Debit Card,Monthly,51:04.3,51:04.3,51:04.3,John Taylor,Canada,Vancouver,1,35.26,29.97,Delivered,
CUST1023,57,Female,Nuts,Snacks,Large,Red,Summer,,Standard,15,33714,Yes,Debit Card,Monthly,51:04.3,51:04.3,51:04.3,John Taylor,Canada,Montreal,10,,,Returned,Damaged Product
CUST1024,61,Female,Bread,Bakery,Large,Red,Spring,5,Express,5,30662,Yes,Apple Pay,Monthly,51:04.3,51:04.3,51:04.3,Olivia Taylor,UK,Liverpool,2,,,Returned,Quality Issue
CUST1025,28,Male,Cake,Bakery,Medium,White,Autumn,4,Express,10,96664,Yes,Bank Transfer,Weekly,51:04.3,51:04.3,51:04.3,Sarah Taylor,USA,Houston,3,27.4,73.98,Delivered,
CUST1026,41,Male,Apple,Fruits,Medium,Brown,Winter,4,Shipped from Abroad,15,75474,Yes,Cash,Weekly,51:04.3,51:04.3,51:04.3,Michael Smith,UK,Liverpool,7,48.52,288.69,Returned,Late Delivery
CUST1027,24,Female,Soda,Beverages,Small,N/A,Spring,5,Standard,10,86309,Yes,Apple Pay,Weekly,51:04.3,51:04.3,51:04.3,Daniel Jackson,Canada,Vancouver,3,41.03,110.78,Delivered,
CUST1028,50,Male,Juice,Beverages,Small,White,Autumn,,Express,5,87481,Yes,Bank Transfer,Quarterly,51:04.3,51:04.3,51:04.3,Daniel Anderson,USA,Chicago,1,10.5,9.97,Delivered,
CUST1029,25,Male,Yogurt,Dairy,Large,Yellow,Summer,4,Express,5,46455,No,Credit Card,Monthly,51:04.3,51:04.3,51:04.3,David Jackson,USA,Houston,6,38.41,218.94,Returned,Changed Mind
CUST1030,41,Female,Yogurt,Dairy,Medium,Yellow,Autumn,2,Standard,20,66342,Yes,Debit Card,Weekly,51:04.3,51:04.3,51:04.3,David Taylor,USA,Houston,3,15.43,37.03,Delivered,
CUST1031,38,Female,Coffee,Beverages,Large,White,Winter,2,Shipped from Abroad,15,46917,No,Google Pay,Weekly,51:04.3,51:04.3,51:04.3,Emma Jackson,Germany,Berlin,10,33.17,281.95,Returned,Changed Mind
CUST1032,64,Male,Butter,Dairy,Large,Green,Summer,4,Standard,20,35506,Yes,Apple Pay,Yearly,51:04.3,51:04.3,51:04.3,Emma Jackson,UK,Manchester,9,22.18,159.7,Delivered,
CUST1033,40,Male,Carrot,Vegetables,Large,Green,Autumn,1,Standard,0,70782,Yes,Apple Pay,Weekly,51:04.3,51:04.3,51:04.3,Michael Thomas,Germany,Munich,8,35.8,286.4,Returned,Damaged Product
CUST1034,65,Female,Muffin,Bakery,Large,Green,Winter,2,Standard,0,86419,Yes,Credit Card,Yearly,51:04.3,51:04.3,51:04.3,Sarah Jackson,UK,London,10,45.4,454,Delivered,
CUST1035,56,Female,Apple,Fruits,Large,Brown,Winter,3,Standard,15,51143,Yes,Google Pay,Yearly,51:04.3,51:04.3,51:04.3,Michael Smith,Canada,Vancouver,5,35.91,152.62,Returned,Damaged Product
CUST1036,39,Female,Soda,Beverages,Large,N/A,Spring,,Express,0,41615,No,Google Pay,Quarterly,51:04.3,51:04.3,51:04.3,Michael Taylor,UK,Manchester,10,,,Returned,Quality Issue
CUST1037,44,Male,Milk,Dairy,Medium,White,Autumn,4,Shipped from Abroad,20,31730,Yes,Debit Card,Monthly,51:04.3,51:04.3,51:04.3,Emma Taylor,Germany,Berlin,5,3.45,13.8,Delivered,
CUST1038,61,Female,Chocolate,Snacks,Small,Red,Summer,4,Express,20,67416,No,Google Pay,Monthly,51:04.3,51:04.3,51:04.3,Michael Taylor,Canada,Montreal,8,,,Returned,Wrong Item
CUST1039,49,Female,Butter,Dairy,Small,Yellow,Winter,1,Shipped from Abroad,0,91785,Yes,Credit Card,Yearly,51:04.3,51:04.3,51:04.3,Daniel Taylor,Australia,Brisbane,6,44,264,Returned,Late Delivery
CUST1040,59,Male,Coffee,Beverages,Medium,Brown,Summer,4,Express,15,74909,No,Debit Card,Yearly,51:04.3,51:04.3,51:04.3,John Johnson,Australia,Brisbane,3,18.3,46.67,Returned,Quality Issue
CUST1041,34,Male,Croissant,Bakery,Large,Green,Spring,,Express,0,44635,No,Debit Card,Yearly,51:04.3,51:04.3,51:04.3,Sarah Johnson,UK,Manchester,3,44.94,134.82,Returned,Quality Issue
CUST1042,60,Female,Carrot,Vegetables,Medium,Yellow,Spring,3,Standard,20,22868,No,Credit Card,Quarterly,51:04.3,51:04.3,51:04.3,David Jackson,USA,Chicago,4,3.09,9.89,Returned,Quality Issue
CUST1043,54,Female,Mango,Fruits,Small,Red,Winter,4,Shipped from Abroad,20,89166,No,Debit Card,Monthly,51:04.3,51:04.3,51:04.3,Emma Anderson,UK,Manchester,8,33.99,217.54,Returned,Wrong Item
CUST1044,42,Male,Soda,Beverages,Small,N/A,Summer,4,Express,0,25383,Yes,PayPal,Monthly,51:04.3,51:04.3,51:04.3,Daniel Johnson,Australia,Melbourne,10,30.81,308.1,Returned,Damaged Product
CUST1045,48,Male,Chocolate,Snacks,Large,Red,Winter,5,Shipped from Abroad,5,57820,No,Debit Card,Yearly,51:04.3,51:04.3,51:04.3,Emma Thomas,UK,London,3,18.7,53.29,Returned,Quality Issue
CUST1046,58,Male,Chips,Snacks,Medium,N/A,Spring,1,Standard,20,33580,Yes,Cash,Yearly,51:04.3,51:04.3,51:04.3,David Taylor,USA,Los Angeles,9,,,Delivered,
CUST1047,61,Male,Banana,Fruits,Medium,Red,Spring,4,Express,10,53378,Yes,Bank Transfer,Weekly,51:04.3,51:04.3,51:04.3,Olivia Thomas,Canada,Montreal,,28.41,,Returned,Quality Issue
CUST1048,53,Male,Pork,Meat,Medium,Yellow,Summer,2,Standard,15,13318,Yes,Credit Card,Quarterly,51:04.3,51:04.3,51:04.3,Mary Thomas,UK,Manchester,9,6.42,49.11,Returned,Changed Mind
CUST1049,50,Male,Juice,Beverages,Large,White,Winter,3,Express,5,23326,Yes,Credit Card,Yearly,51:04.3,51:04.3,51:04.3,Daniel Brown,UK,Liverpool,8,19.34,146.98,Delivered,
CUST1050,49,Male,Chips,Snacks,Medium,White,Autumn,1,Shipped from Abroad,20,37799,Yes,Credit Card,Quarterly,51:04.3,51:04.3,51:04.3,Sarah Johnson,Canada,Vancouver,9,45.58,328.18,Delivered,
CUST1051,66,Male,Potato,Vegetables,Large,Green,Winter,1,Shipped from Abroad,5,58972,Yes,Google Pay,Yearly,51:04.3,51:04.3,51:04.3,Emma Thomas,Germany,Munich,2,38.27,72.71,Returned,Quality Issue
CUST1052,70,Female,Beef,Meat,Small,White,Spring,3,Standard,20,12709,No,PayPal,Yearly,51:04.3,51:04.3,51:04.3,John Thomas,USA,Chicago,2,22.17,35.47,Returned,Wrong Item
